category,buy,Pres_Child_yes,Race_Caucasian,Ethnicity_non_Hisp,HH_Size_3,HH_Size_4,Age_Head_35_44Yrs,Age_Head_45_49Yrs,Age_Head_50_54Yrs,Age_Head_55_64Yrs,Age_Head_65plus,Educ_Fem_Some_College,Educ_Fem_Grad_College,Educ_Fem_Post_College,Census_East,Census_South,Census_West,Affluence_Well,Affluence_Comfortable,HHinc_25_49k,HHinc_50_69k,HHinc_70_99k,HHinc_100k_plus
Baby Powder,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Baby Powder,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Baby Powder,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Baby Powder,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Baby Powder,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Baby Powder,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Baby Powder,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Baby Powder,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Baby Powder,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Baby Powder,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Baby Powder,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Baby Powder,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Baby Powder,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
Baby Powder,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
Baby Powder,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Baby Powder,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
Baby Powder,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
