GeoRegion,id,Operators,Domicile,Country,EconRegion,Growth_1Yr,Growth_2Yrs,Growth_3Yrs,Growth_4Yrs,Growth_5Yrs,Growth_10Yrs,entrytime,Admin,Demographics,Economic,Financial,Geographic,Global_Connected,Knowledge,Political,Brand_Val,Enterprise_Val,BV_div_EV,Brand_Rat_3cat,Nos_Countries,Large_Govt_Share,Major_Share,Operato_Age,Multinational,Nos_Empl,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI_Index,Econ_Glob,Social_Glob,Political_Glob,Overall_Glob,GII_Input,GII_Output,GII_Overall,PR,CL,Ethnic_Frac,Linguistic_Frac,Religious_Frac,Power_Distance,Individualism,Masculinity,UA,Longtrem,Indulgence_Restraint,G3,opertype
1,1,3 (CK Hutchison),Hong Kong,Indonesia,3,1.25,1.06,0.89,0.79,0.73,.,6.75,41.872,2.592,18.806,32.745,3.0996,4.125,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,3.521,210.455,4.15,0.604,116.772,42.002,34.01,65.57,32.45,81.31,57.68,33.57,21.99,27.78,2,3,0.735,0.768,0.234,78,14,46,48,61.96,37.72,1,1
2,1,3 (CK Hutchison),Hong Kong,Austria,1,1.67,1.01,0.77,0.62,0.55,0.43,2.75,2.603,2.012,18.145,40.946,8.9912,1.072,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,3.654,8.035,31.57,0.837,97.016,65.8,29.87,87.03,90.25,96.58,90.85,59.28,42.21,50.75,1,1,0.107,0.152,0.415,11,55,79,70,60.45,62.72,1,1
2,1,3 (CK Hutchison),Hong Kong,United Kingdom,1,1.97,1.1,0.77,0.59,0.51,0.31,2.5,6.965,7.063,24.222,14.05,9.5956,2.319,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,2.529,59.068,27.03,0.866,243.428,78.651,33.5,87.01,87.38,96.06,89.64,63.66,48.27,55.96,1,1,0.121,0.053,0.694,35,89,66,35,51.13,69.42,1,1
2,1,3 (CK Hutchison),Hong Kong,Sweden,1,1.27,0.77,0.61,0.51,0.46,0.27,2.75,21.737,11.067,19.276,14.451,8.3081,2.912,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,3.961,8.88,27.17,0.877,21.621,84.026,25.4,86.07,86.52,95.51,88.84,64.85,59.4,62.12,1,1,0.06,0.197,0.234,31,71,5,29,52.9,77.68,1,1
1,1,3 (CK Hutchison),Hong Kong,Hong Kong,1,0.85,0.62,0.54,0.45,0.38,0.23,3.5,0,0,0,0,0,0,0,0,0.31,1.78,0.18,1,11,0,30,18,1,2.355,1.944,6.864,32.55,0.825,6347.619,100,32.6,54.31,54.09,84.15,62.46,68.57,45.08,56.82,5,5,0.062,0.213,0.419,68,25,57,29,61,17,1,1
1,1,3 (CK Hutchison),Hong Kong,Sri Lanka,3,0.99,0.87,0.77,.,.,.,11.75,1.872,1.294,14.997,34.407,3.9411,4.177,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,2.825,18.942,4.6,0.686,297.48,18.443,40.25,46.93,39.29,72.99,51.3,33.2,27.53,30.36,5,4,0.415,0.465,0.485,80,35,10,45,45,15.25,1,1
2,1,3 (CK Hutchison),Hong Kong,Ireland,1,0.94,0.78,0.59,0.47,0.42,.,5,4.415,1.078,8.194,26.208,9.9822,0.834,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,5.213,3.835,31.39,0.857,55.236,59.146,33.6,95.71,76.26,87.36,86.23,65.53,42.67,54.1,1,1,0.121,0.031,0.155,28,70,68,35,24.43,64.96,1,1
2,1,3 (CK Hutchison),Hong Kong,Italy,1,1.89,1.28,0.93,0.73,0.6,0.31,2.5,15.473,8.552,23.573,26.732,9.2263,0.302,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,4.162,57.093,27.14,0.828,193.608,67.222,34.3,73.85,78.49,94.5,81.26,47.88,33.49,40.69,1,1,0.115,0.115,0.303,50,76,70,75,61.46,29.69,1,1
2,1,3 (CK Hutchison),Hong Kong,United Kingdom,1,0.56,.,.,.,.,.,4.05,6.965,7.351,44.581,39.387,9.5956,1.798,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,2.249,61.884,32.18,0.895,257.414,81.031,34.67,85.47,87.58,94.95,88.87,63.66,48.27,55.96,1,1,0.121,0.053,0.694,35,89,66,35,51.13,69.42,0,0
1,1,3 (CK Hutchison),Hong Kong,Indonesia,3,.,.,.,.,.,.,5.8,41.872,12.7,48.112,46.516,3.0996,6.683,.,.,0.31,1.78,0.18,1,11,0,30,18,1,2.355,3.215,239.082,5.19,0.656,132.118,49.124,34.11,59.36,33.54,85.28,56.97,33.57,21.99,27.78,2,3,0.735,0.768,0.234,78,14,46,48,61.96,37.72,0,0
