Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,Female,Misdemeanor,ethnicity,jobhelp,wage
0.210802819,no,no,Male,no,African_American,1,1.039321789
0,no,no,Male,no,African_American,0,0.94358069
0,no,no,Male,yes,African_American,0,1.386746865
0,no,no,Male,no,African_American,0,1.027588369
0,no,yes,Male,no,African_American,1,0.853752873
0,no,no,Male,yes,African_American,1,0.987902841
0.632408457,no,yes,Male,yes,African_American,1,0.824528703
0,no,yes,Male,no,African_American,0,0.807668704
0.632408457,yes,no,Male,yes,African_American,1,1.002545784
0,no,yes,Female,no,African_American,1,0.882200601
0.210802819,yes,no,Male,no,African_American,1,0.762587555
0.210802819,no,no,Male,no,Caucasian,1,0.859050978
1.897225372,no,no,Male,no,African_American,0,0.749992275
1.054014096,yes,no,Male,yes,Caucasian,0,0.724398617
1.264816915,no,yes,Male,no,African_American,0,0.719996958
2.740436649,yes,no,Male,yes,Caucasian,0,0.758085955
0.210802819,no,no,Female,yes,African_American,0,0.877078713
0.421605638,no,no,Male,no,African_American,0,0.799012218
0,no,no,Male,no,Caucasian,0,1.004833665
0.210802819,no,no,Male,yes,African_American,1,0.878951253
0,no,no,Male,yes,Caucasian,1,1.027709462
0.421605638,no,no,Male,no,African_American,0,0.754894365
0,no,yes,Male,no,African_American,1,0.755919329
1.686422553,no,no,Male,no,Caucasian,1,1.113434628
0.632408457,no,no,Male,no,African_American,1,0.970700535
0.210802819,yes,no,Male,yes,African_American,1,0.790136295
0,no,yes,Female,no,African_American,0,0.777258797
0.210802819,yes,no,Male,yes,Caucasian,1,0.791114005
0.421605638,yes,no,Male,no,African_American,1,0.738013579
1.897225372,no,no,Male,no,African_American,0,0.741203926
0.210802819,no,no,Male,no,Caucasian,0,0.812658443
1.264816915,no,no,Male,no,Caucasian,0,0.878703995
1.264816915,no,no,Male,yes,African_American,0,1.025686138
0.210802819,no,no,Male,yes,Caucasian,1,0.988386147
1.475619734,no,no,Male,yes,Caucasian,1,1.092784302
2.740436649,no,no,Female,no,African_American,1,1.16819547
1.054014096,no,no,Male,yes,African_American,1,0.96127008
0,no,no,Female,no,Caucasian,0,1.102253911
3.372845106,yes,no,Male,no,African_American,0,0.615771444
2.951239468,no,no,Male,no,African_American,1,1.262870467
3.583647925,no,no,Male,no,Caucasian,0,0.917017348
0.421605638,no,no,Female,yes,African_American,0,0.733347376
0.843211277,no,no,Female,no,Caucasian,0,1.011704042
0.843211277,yes,no,Male,no,Caucasian,0,0.730851669
3.794450744,no,no,Male,no,African_American,0,0.797551876
1.264816915,no,no,Male,no,African_American,1,0.896038166
2.31883101,yes,no,Male,yes,African_American,1,0.863885879
1.475619734,no,no,Male,no,African_American,1,1.110362458
1.264816915,no,no,Male,no,African_American,1,1.050675667
0,yes,no,Male,yes,African_American,0,0.907336284
0,yes,no,Male,no,African_American,1,1.021312981
0,no,no,Male,no,African_American,1,1.071188121
3.162042287,no,no,Male,no,African_American,1,1.250143813
0,yes,no,Female,yes,Caucasian,0,0.906980972
0.210802819,no,no,Male,no,Caucasian,0,0.807313238
1.686422553,no,no,Male,no,African_American,0,1.067630834
0.421605638,no,no,Female,no,Caucasian,0,0.769982609
0.210802819,no,yes,Male,no,African_American,0,0.690497951
0.632408457,yes,no,Male,yes,African_American,0,0.756076584
0,no,no,Male,no,African_American,0,0.987922526
0.632408457,no,no,Male,yes,Caucasian,0,0.763273802
0,no,no,Male,yes,Caucasian,0,1.045670564
2.52963383,no,no,Male,no,African_American,0,0.862396229
2.31883101,no,no,Female,no,African_American,1,1.029851636
0,yes,no,Female,yes,Caucasian,0,0.917865032
0.210802819,no,yes,Male,no,African_American,0,0.659932643
1.054014096,yes,no,Male,no,African_American,1,0.786840798
2.108028191,no,no,Male,no,African_American,0,0.925838758
1.897225372,no,no,Male,yes,African_American,0,0.828361296
0.843211277,no,no,Female,no,African_American,1,1.085228634
0,yes,no,Female,no,African_American,1,1.0248269
0.843211277,no,no,Female,yes,African_American,0,0.933917589
0.210802819,no,no,Male,no,African_American,0,0.795027939
0.210802819,no,no,Male,yes,African_American,0,0.984373277
0.843211277,no,no,Male,no,African_American,0,1.065320842
0.210802819,no,yes,Male,no,African_American,1,0.566980105
1.686422553,no,no,Female,no,Caucasian,0,0.970270158
2.31883101,no,no,Male,no,African_American,1,0.940707892
0,yes,no,Male,yes,Caucasian,0,1.049252357
0,no,yes,Female,no,Caucasian,1,0.887961518
0.210802819,no,yes,Male,no,African_American,0,0.624322718
0,no,yes,Male,no,African_American,1,0.985653647
1.054014096,no,no,Female,no,African_American,1,0.999967484
0,no,yes,Male,no,African_American,1,0.894039361
1.686422553,no,no,Male,no,African_American,1,1.034340124
2.740436649,no,no,Male,no,African_American,0,0.915608476
0,no,no,Male,no,African_American,0,0.830848747
0.421605638,no,no,Male,yes,African_American,1,1.059581592
0.210802819,yes,no,Male,no,African_American,0,0.882744217
1.686422553,no,no,Male,yes,African_American,1,0.982507518
0.210802819,no,yes,Female,no,Caucasian,0,0.775370723
0,no,no,Female,no,Caucasian,0,1.011911776
1.475619734,no,no,Male,yes,African_American,0,0.91421984
1.897225372,no,no,Male,no,African_American,0,0.945659331
1.264816915,no,no,Male,no,Caucasian,1,1.047263206
1.897225372,yes,no,Male,no,African_American,0,0.727425158
0,no,no,Male,yes,African_American,0,0.926013281
0.210802819,no,yes,Male,no,Caucasian,1,0.974713063
0,no,no,Male,no,Caucasian,0,1.198118677
0.421605638,no,yes,Female,no,African_American,0,0.790832883
0.421605638,no,yes,Male,yes,African_American,0,0.849263362
0.210802819,yes,no,Male,no,Caucasian,1,0.946659583
1.054014096,no,no,Male,no,Caucasian,0,0.967031751
2.52963383,yes,no,Male,yes,African_American,1,0.882731067
0.632408457,no,no,Female,no,African_American,1,0.833828284
0,no,no,Male,yes,African_American,1,0.882440473
0.421605638,yes,no,Male,no,Caucasian,0,0.797795362
2.108028191,no,no,Male,yes,African_American,1,1.012385509
0.210802819,no,yes,Male,yes,African_American,1,0.7069087
0.421605638,no,no,Female,no,Caucasian,0,0.92413754
0,no,no,Male,yes,African_American,1,0.944010373
0,no,no,Male,no,African_American,1,1.070366288
0,no,yes,Male,no,African_American,1,1.054717818
0,no,no,Male,yes,Caucasian,0,0.916213322
0.210802819,no,yes,Female,no,African_American,0,0.673587315
0,no,yes,Male,no,African_American,0,0.805085234
5.480873297,no,no,Male,no,African_American,1,1.352799702
0.210802819,no,no,Female,no,African_American,1,0.681661223
0,yes,no,Male,yes,Caucasian,1,0.997722475
0,no,no,Male,yes,Caucasian,0,1.114642601
0,no,no,Male,yes,Caucasian,1,1.131785957
0.632408457,no,no,Female,no,African_American,0,1.086459722
1.475619734,no,no,Male,no,African_American,1,1.010016391
4.216056383,yes,no,Male,no,African_American,0,0.75737827
3.794450744,yes,no,Male,yes,African_American,1,1.161672219
0,no,yes,Male,yes,African_American,0,0.937022057
0.210802819,no,no,Male,no,Caucasian,0,0.902346589
1.897225372,no,no,Male,no,African_American,0,0.865891604
0.632408457,no,yes,Male,no,Caucasian,0,0.811476226
1.054014096,no,no,Male,no,African_American,0,0.855948004
0,no,yes,Male,no,Caucasian,0,0.989079112
1.475619734,yes,no,Male,no,African_American,0,0.889517032
0,no,no,Male,no,African_American,1,1.032801869
1.686422553,no,no,Male,no,African_American,1,1.245858744
0,no,no,Female,no,African_American,1,1.083270519
0.421605638,no,no,Female,no,Caucasian,0,0.933339949
0.210802819,no,no,Male,yes,Caucasian,0,0.841586291
0,yes,no,Male,no,Caucasian,1,0.907331028
0.421605638,no,yes,Female,no,African_American,0,0.645620651
0,yes,no,Male,yes,Caucasian,1,0.955934133
0.210802819,no,no,Male,yes,African_American,0,0.889685696
0,no,yes,Male,no,Caucasian,0,0.866079814
0,no,no,Male,no,Caucasian,0,1.099573363
1.054014096,no,no,Male,no,African_American,0,0.691768339
1.686422553,yes,no,Female,no,Caucasian,0,0.841520894
2.108028191,yes,no,Male,no,African_American,0,0.788708947
0.210802819,yes,no,Female,no,African_American,1,0.822511191
0.421605638,yes,no,Male,yes,African_American,1,0.857960775
0.843211277,no,no,Male,yes,Caucasian,0,0.926821164
0,no,no,Female,yes,Caucasian,1,1.067405952
3.794450744,no,no,Male,yes,African_American,1,1.214149432
0.421605638,no,no,Male,yes,Caucasian,0,0.936528831
2.31883101,no,no,Male,no,African_American,1,0.925524137
0,yes,no,Male,yes,Caucasian,1,0.967374567
1.264816915,no,no,Male,no,African_American,0,0.870763564
0,yes,no,Male,no,Caucasian,1,1.123274865
3.162042287,yes,no,Male,no,African_American,0,0.915982135
1.264816915,yes,no,Male,no,African_American,1,1.036243323
0.632408457,no,yes,Male,no,Caucasian,0,0.775316283
0.421605638,no,yes,Female,yes,African_American,0,0.734284797
0.210802819,no,no,Male,no,African_American,0,0.767236821
0.210802819,yes,no,Male,no,Caucasian,0,0.620560261
2.108028191,yes,no,Male,no,African_American,1,0.949684467
0.210802819,yes,no,Male,yes,Caucasian,1,0.941213083
0,no,yes,Male,yes,African_American,1,0.911710885
1.686422553,no,no,Male,no,African_American,1,1.157504268
0,no,yes,Female,no,Caucasian,0,0.934553037
0,no,yes,Male,no,Caucasian,1,0.984397871
0.421605638,no,no,Male,yes,African_American,1,0.594647456
0,no,yes,Male,no,African_American,1,0.887373779
0.210802819,no,no,Male,no,Caucasian,0,1.007992273
0,no,no,Male,no,Caucasian,0,0.957186207
0,yes,no,Male,yes,Caucasian,1,1.073189708
0,yes,no,Male,no,Caucasian,1,1.23863892
0,no,no,Male,yes,Caucasian,0,0.978944915
0,no,no,Female,yes,African_American,0,1.217271117
4.005253563,yes,no,Male,no,African_American,0,0.874040897
0,yes,no,Male,no,African_American,0,1.212014765
0.210802819,no,no,Male,no,African_American,0,0.767141768
