Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,Female,Misdemeanor,ethnicity,jobhelp,wage
0.210802819,no,no,Male,no,African_American,0,0.795494163
0,no,no,Male,no,African_American,1,0.977245139
0,no,no,Male,yes,African_American,1,1.168675237
0,no,no,Male,no,African_American,0,1.007075755
0,no,yes,Male,no,African_American,1,0.913012711
0,no,no,Male,yes,African_American,0,1.187091857
0.632408457,no,yes,Male,yes,African_American,0,0.797170349
0,no,yes,Male,no,African_American,1,0.781168754
0.632408457,yes,no,Male,yes,African_American,0,0.683620458
0,no,yes,Female,no,African_American,1,0.856412286
0.210802819,yes,no,Male,no,African_American,1,0.901295621
0.210802819,no,no,Male,no,Caucasian,1,0.957716829
1.897225372,no,no,Male,no,African_American,1,1.080613608
1.054014096,yes,no,Male,yes,Caucasian,1,0.916531161
1.264816915,no,yes,Male,no,African_American,1,0.822414146
2.740436649,yes,no,Male,yes,Caucasian,1,1.269695271
0.210802819,no,no,Female,yes,African_American,1,0.92212543
0.421605638,no,no,Male,no,African_American,0,0.671468476
0,no,no,Male,no,Caucasian,1,1.172653613
0.210802819,no,no,Male,yes,African_American,0,0.80382111
0,no,no,Male,yes,Caucasian,0,0.99872124
0.421605638,no,no,Male,no,African_American,0,0.828438357
0,no,yes,Male,no,African_American,0,0.802487495
1.686422553,no,no,Male,no,Caucasian,1,0.998346162
0.632408457,no,no,Male,no,African_American,0,0.789409374
0.210802819,yes,no,Male,yes,African_American,0,0.594788202
0,no,yes,Female,no,African_American,0,0.987388233
0.210802819,yes,no,Male,yes,Caucasian,1,0.836535814
0.421605638,yes,no,Male,no,African_American,0,0.642424205
1.897225372,no,no,Male,no,African_American,1,1.17330336
0.210802819,no,no,Male,no,Caucasian,1,0.964649129
1.264816915,no,no,Male,no,Caucasian,1,0.997405629
1.264816915,no,no,Male,yes,African_American,1,1.070122768
0.210802819,no,no,Male,yes,Caucasian,1,1.012864602
1.475619734,no,no,Male,yes,Caucasian,1,1.133189416
2.740436649,no,no,Female,no,African_American,1,1.195334196
1.054014096,no,no,Male,yes,African_American,1,1.012356021
0,no,no,Female,no,Caucasian,0,1.093827955
3.372845106,yes,no,Male,no,African_American,0,0.719867062
2.951239468,no,no,Male,no,African_American,1,1.107791545
3.583647925,no,no,Male,no,Caucasian,0,0.832887469
0.421605638,no,no,Female,yes,African_American,0,0.82942293
0.843211277,no,no,Female,no,Caucasian,1,0.865460352
0.843211277,yes,no,Male,no,Caucasian,0,1.042214404
3.794450744,no,no,Male,no,African_American,1,1.357839996
1.264816915,no,no,Male,no,African_American,1,0.870248071
2.31883101,yes,no,Male,yes,African_American,0,0.710512307
1.475619734,no,no,Male,no,African_American,0,0.804406559
1.264816915,no,no,Male,no,African_American,0,0.931118888
0,yes,no,Male,yes,African_American,0,0.891697749
0,yes,no,Male,no,African_American,0,0.925655429
0,no,no,Male,no,African_American,1,0.997149395
3.162042287,no,no,Male,no,African_American,1,1.161926359
0,yes,no,Female,yes,Caucasian,1,1.146667866
0.210802819,no,no,Male,no,Caucasian,0,0.877675857
1.686422553,no,no,Male,no,African_American,0,1.013749431
0.421605638,no,no,Female,no,Caucasian,1,0.79868256
0.210802819,no,yes,Male,no,African_American,1,0.831284316
0.632408457,yes,no,Male,yes,African_American,1,0.825703287
0,no,no,Male,no,African_American,0,1.021828998
0.632408457,no,no,Male,yes,Caucasian,1,1.001934631
0,no,no,Male,yes,Caucasian,0,1.051008436
2.52963383,no,no,Male,no,African_American,0,0.817228283
2.31883101,no,no,Female,no,African_American,1,0.985041309
0,yes,no,Female,yes,Caucasian,1,0.898364741
0.210802819,no,yes,Male,no,African_American,0,0.780818209
1.054014096,yes,no,Male,no,African_American,0,0.795840615
2.108028191,no,no,Male,no,African_American,0,0.855314495
1.897225372,no,no,Male,yes,African_American,1,1.136335985
0.843211277,no,no,Female,no,African_American,1,1.161856588
0,yes,no,Female,no,African_American,0,0.852082949
0.843211277,no,no,Female,yes,African_American,1,0.728126566
0.210802819,no,no,Male,no,African_American,1,0.976885587
0.210802819,no,no,Male,yes,African_American,0,0.781536341
0.843211277,no,no,Male,no,African_American,1,0.867833687
0.210802819,no,yes,Male,no,African_American,1,0.87908089
1.686422553,no,no,Female,no,Caucasian,1,1.040566611
2.31883101,no,no,Male,no,African_American,0,0.735084843
0,yes,no,Male,yes,Caucasian,0,1.018295701
0,no,yes,Female,no,Caucasian,1,0.986206873
0.210802819,no,yes,Male,no,African_American,0,0.750576585
0,no,yes,Male,no,African_American,0,0.939279869
1.054014096,no,no,Female,no,African_American,1,0.919013941
0,no,yes,Male,no,African_American,1,0.966559081
1.686422553,no,no,Male,no,African_American,0,0.828192639
2.740436649,no,no,Male,no,African_American,1,1.157778395
0,no,no,Male,no,African_American,1,1.115925272
0.421605638,no,no,Male,yes,African_American,1,0.936639514
0.210802819,yes,no,Male,no,African_American,1,0.739012556
1.686422553,no,no,Male,yes,African_American,0,0.971739675
0.210802819,no,yes,Female,no,Caucasian,1,0.925533498
0,no,no,Female,no,Caucasian,1,1.156371261
1.475619734,no,no,Male,yes,African_American,0,0.874160419
1.897225372,no,no,Male,no,African_American,0,0.789140102
1.264816915,no,no,Male,no,Caucasian,1,1.172238337
1.897225372,yes,no,Male,no,African_American,1,0.881462624
0,no,no,Male,yes,African_American,0,1.244499324
0.210802819,no,yes,Male,no,Caucasian,1,0.986709523
0,no,no,Male,no,Caucasian,1,1.076705568
0.421605638,no,yes,Female,no,African_American,0,0.652449912
0.421605638,no,yes,Male,yes,African_American,1,0.723584587
0.210802819,yes,no,Male,no,Caucasian,1,0.847101443
1.054014096,no,no,Male,no,Caucasian,1,0.981034019
2.52963383,yes,no,Male,yes,African_American,0,0.715842733
0.632408457,no,no,Female,no,African_American,1,0.822466604
0,no,no,Male,yes,African_American,0,0.99550735
0.421605638,yes,no,Male,no,Caucasian,1,0.766671456
2.108028191,no,no,Male,yes,African_American,0,0.696373783
0.210802819,no,yes,Male,yes,African_American,1,0.733771416
0.421605638,no,no,Female,no,Caucasian,0,0.996254819
0,no,no,Male,yes,African_American,0,0.944089133
0,no,no,Male,no,African_American,1,1.062682564
0,no,yes,Male,no,African_American,1,0.750621287
0,no,no,Male,yes,Caucasian,1,1.094459211
0.210802819,no,yes,Female,no,African_American,1,0.824393583
0,no,yes,Male,no,African_American,1,0.93057339
5.480873297,no,no,Male,no,African_American,0,0.860623654
0.210802819,no,no,Female,no,African_American,0,0.787938778
0,yes,no,Male,yes,Caucasian,0,0.918539441
0,no,no,Male,yes,Caucasian,0,1.002656787
0,no,no,Male,yes,Caucasian,0,1.111834136
0.632408457,no,no,Female,no,African_American,1,0.822843461
1.475619734,no,no,Male,no,African_American,0,0.802128052
4.216056383,yes,no,Male,no,African_American,1,1.146321554
3.794450744,yes,no,Male,yes,African_American,0,0.952480132
0,no,yes,Male,yes,African_American,1,0.836884762
0.210802819,no,no,Male,no,Caucasian,0,0.923817878
1.897225372,no,no,Male,no,African_American,0,0.857826554
0.632408457,no,yes,Male,no,Caucasian,1,0.771536209
1.054014096,no,no,Male,no,African_American,1,0.948295965
0,no,yes,Male,no,Caucasian,1,1.1554098
1.475619734,yes,no,Male,no,African_American,0,0.7961852
0,no,no,Male,no,African_American,1,1.004131805
1.686422553,no,no,Male,no,African_American,0,0.808630397
0,no,no,Female,no,African_American,0,0.814382825
0.421605638,no,no,Female,no,Caucasian,1,1.061942225
0.210802819,no,no,Male,yes,Caucasian,1,0.785182675
0,yes,no,Male,no,Caucasian,0,1.076801153
0.421605638,no,yes,Female,no,African_American,1,1.002511511
0,yes,no,Male,yes,Caucasian,1,0.86555071
0.210802819,no,no,Male,yes,African_American,1,0.943779852
0,no,yes,Male,no,Caucasian,1,0.974121004
0,no,no,Male,no,Caucasian,1,0.954520816
1.054014096,no,no,Male,no,African_American,0,0.709446445
1.686422553,yes,no,Female,no,Caucasian,1,0.82065515
2.108028191,yes,no,Male,no,African_American,1,0.909096863
0.210802819,yes,no,Female,no,African_American,0,0.614006006
0.421605638,yes,no,Male,yes,African_American,0,0.821213028
0.843211277,no,no,Male,yes,Caucasian,1,1.218012627
0,no,no,Female,yes,Caucasian,1,0.979235018
3.794450744,no,no,Male,yes,African_American,0,0.931959647
0.421605638,no,no,Male,yes,Caucasian,0,0.979938639
2.31883101,no,no,Male,no,African_American,1,1.115661313
0,yes,no,Male,yes,Caucasian,1,0.904079789
1.264816915,no,no,Male,no,African_American,0,0.838125801
0,yes,no,Male,no,Caucasian,1,0.972349926
3.162042287,yes,no,Male,no,African_American,1,1.124118132
1.264816915,yes,no,Male,no,African_American,1,0.839922838
0.632408457,no,yes,Male,no,Caucasian,1,0.965869857
0.421605638,no,yes,Female,yes,African_American,0,0.71323479
0.210802819,no,no,Male,no,African_American,1,0.982092098
0.210802819,yes,no,Male,no,Caucasian,1,0.721478904
2.108028191,yes,no,Male,no,African_American,0,0.63160116
0.210802819,yes,no,Male,yes,Caucasian,0,1.182791101
0,no,yes,Male,yes,African_American,0,0.859171144
1.686422553,no,no,Male,no,African_American,1,1.048914167
0,no,yes,Female,no,Caucasian,1,1.065726757
0,no,yes,Male,no,Caucasian,0,0.952773511
0.421605638,no,no,Male,yes,African_American,1,0.945205814
0,no,yes,Male,no,African_American,1,0.937585576
0.210802819,no,no,Male,no,Caucasian,1,0.899772519
0,no,no,Male,no,Caucasian,1,1.106550666
0,yes,no,Male,yes,Caucasian,1,0.996599071
0,yes,no,Male,no,Caucasian,1,1.237193106
0,no,no,Male,yes,Caucasian,0,1.028547623
0,no,no,Female,yes,African_American,1,0.896192875
4.005253563,yes,no,Male,no,African_American,1,1.154311345
0,yes,no,Male,no,African_American,1,0.931535094
0.210802819,no,no,Male,no,African_American,0,0.894619128
0.632408457,no,no,Male,no,Caucasian,0,0.855198093
0,no,no,Male,no,African_American,0,0.899125537
0,no,no,Male,yes,African_American,0,1.134643515
0.210802819,no,no,Female,no,African_American,0,0.815639176
3.162042287,yes,no,Male,no,African_American,1,0.983292742
0,yes,no,Male,yes,Caucasian,0,0.976648998
0,no,no,Female,yes,Caucasian,1,1.080475531
2.740436649,yes,no,Male,no,African_American,0,0.867386
0.210802819,no,no,Male,no,African_American,1,0.879590015
0.210802819,yes,no,Male,yes,Caucasian,1,0.899401472
0.210802819,no,yes,Female,yes,African_American,1,0.722377054
0,no,yes,Female,no,African_American,0,0.921676117
0.421605638,no,no,Male,no,Caucasian,1,0.910213419
2.108028191,no,no,Male,yes,African_American,1,1.070306044
0.210802819,no,no,Male,no,Caucasian,0,0.814355041
0.632408457,no,no,Male,no,African_American,1,0.790388311
1.264816915,yes,no,Male,no,African_American,1,1.097544139
0.421605638,no,no,Male,no,African_American,1,0.954072379
1.475619734,no,yes,Male,no,African_American,1,0.779946686
0.210802819,no,no,Male,yes,Caucasian,1,0.861793836
0,no,no,Male,no,Caucasian,1,0.988209173
1.897225372,no,no,Male,yes,African_American,1,1.285651037
0.210802819,no,no,Male,no,Caucasian,1,1.061323168
