GeoR,Operators,Domicile,Country,EconR,EntryTimes,dev_operator,Admin,Demographics,Geographic,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI,EconGlob,SocialGlob,PoliticalGlob,OverallGlob,GIIInput,GIIOutput,GIIOverall,PR,CL,EthnicFrac,LinguisticFrac,ReligiousFrac,G3
1,3 (CK Hutchison),Hong Kong,Indonesia,3,6.75,1,41.872,2.592,3.0996,3.521,210.455,4.15,0.604,116.772,42.002,34.01,65.57,32.45,81.31,57.68,33.57,21.99,27.78,2,3,0.735,0.768,0.234,1
2,3 (CK Hutchison),Hong Kong,Austria,1,2.75,1,2.603,2.012,8.9912,3.654,8.035,31.57,0.837,97.016,65.8,29.87,87.03,90.25,96.58,90.85,59.28,42.21,50.75,1,1,0.107,0.152,0.415,1
2,3 (CK Hutchison),Hong Kong,United Kingdom,1,2.5,1,6.965,7.063,9.5956,2.529,59.068,27.03,0.866,243.428,78.651,33.5,87.01,87.38,96.06,89.64,63.66,48.27,55.96,1,1,0.121,0.053,0.694,1
2,3 (CK Hutchison),Hong Kong,Sweden,1,2.75,1,21.737,11.067,8.3081,3.961,8.88,27.17,0.877,21.621,84.026,25.4,86.07,86.52,95.51,88.84,64.85,59.4,62.12,1,1,0.06,0.197,0.234,1
1,3 (CK Hutchison),Hong Kong,Hong Kong,1,3.5,1,0,0,0,1.944,6.864,32.55,0.825,6347.619,100,32.6,54.31,54.09,84.15,62.46,68.57,45.08,56.82,5,5,0.062,0.213,0.419,1
1,3 (CK Hutchison),Hong Kong,Sri Lanka,3,11.75,1,1.872,1.294,3.9411,2.825,18.942,4.6,0.686,297.48,18.443,40.25,46.93,39.29,72.99,51.3,33.2,27.53,30.36,5,4,0.415,0.465,0.485,1
2,3 (CK Hutchison),Hong Kong,Ireland,1,5,1,4.415,1.078,9.9822,5.213,3.835,31.39,0.857,55.236,59.146,33.6,95.71,76.26,87.36,86.23,65.53,42.67,54.1,1,1,0.121,0.031,0.155,1
2,3 (CK Hutchison),Hong Kong,Italy,1,2.5,1,15.473,8.552,9.2263,4.162,57.093,27.14,0.828,193.608,67.222,34.3,73.85,78.49,94.5,81.26,47.88,33.49,40.69,1,1,0.115,0.115,0.303,1
5,Africell (Lintel),Congo,Uganda,4,9.25,0,12.358,1.569,1.9056,8.105,24.682,1.09,0.396,120.311,12.082,44.2,48.66,22.76,71.86,45.49,29.86,22.87,26.37,5,4,0.93,0.923,0.633,1
5,Africell (Lintel),Congo,Gambia,4,11.5,0,8.34,2.226,3.8376,10,1.248,1.29,0.384,121.724,47.868,47.1,50.64,38.83,64.8,50.18,27.84,18.75,23.29,6,6,0.786,0.808,0.097,1
