schoolid,Z,Y,S3,C1,C2,C3,XC,X1,X2,X3,X4,X5
1,1,0.345928028,6,14,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,0.355790643,5,5,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.994470098,5,8,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,0.824689937,6,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,0.250424372,6,14,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.334379208,5,2,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,0.261499955,6,4,1,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.367791418,5,2,2,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.867046195,5,2,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-1.096971466,4,2,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.033015752,6,10,2,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.684467576,4,14,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,0.151267365,6,15,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-1.14955482,5,10,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,0.688790685,4,3,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,0.464803805,5,14,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.27172597,6,4,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.614372226,6,4,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.157133272,4,2,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.182348111,6,3,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.18376408,5,2,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.493195795,6,11,1,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-1.108510626,4,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,1,-0.645655647,5,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.529478114,3,3,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.193110776,7,14,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.091396456,6,14,1,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.545751817,3,12,2,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.29713234,7,2,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.668064929,5,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.331657399,5,3,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.728929893,6,3,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.894925829,5,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-1.092071102,6,4,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.009757739,5,5,2,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.27884482,5,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.546075427,6,3,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,0.263064068,5,3,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.690291407,5,10,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,0.229237937,7,4,1,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.41406601,5,15,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-1.045487532,5,3,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.05562366,6,3,1,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-1.002470565,5,14,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-1.637436539,3,3,2,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,0.185493366,5,3,1,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,0.185687369,6,4,1,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.519801313,3,14,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-1.331826332,4,2,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-1.231508885,2,3,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.311652655,6,2,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.75569499,5,2,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.957416145,4,3,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.18805058,6,3,1,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.513705477,6,14,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.119369097,5,3,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.989671421,5,3,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-1.394218535,3,4,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.288311869,6,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.036529382,6,4,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.635749103,3,2,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.664239552,3,4,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.355646183,5,2,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.995148405,5,14,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,0.053200546,5,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.488548644,5,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.250696311,5,4,2,0,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,0.423366057,7,4,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.197092231,7,4,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,0.141698221,2,15,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,-0.351564637,5,4,1,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
1,0,0.2112396,5,1,2,1,3,1.185986442,-1.129889398,1.009874613,1.005063021,-1.17470222
2,1,1.455779723,5,2,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.599840335,6,2,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.303393938,5,4,2,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.698870811,6,4,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.80563457,6,11,2,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,-0.058834591,4,13,1,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,-0.105024712,5,4,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,-0.168845569,4,5,1,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.62518059,5,4,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,1.024894808,6,4,1,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.790210727,6,2,2,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,-0.574513985,6,4,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,1.670702306,7,4,1,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.180688775,6,4,2,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.905569839,6,1,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,1.048060752,7,2,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.136974318,4,14,2,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.40137206,6,4,2,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,1.183497166,7,4,1,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.999424421,7,2,2,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.129501778,5,2,2,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.03276069,5,13,2,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.217172006,5,3,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,0.398304893,5,2,2,0,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,-0.377302236,6,4,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,-0.377648359,4,2,1,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
2,1,1.306078542,6,2,2,1,4,0.208297614,-0.122385964,1.19949188,-0.337134288,0.352747115
